["k__Bacteria", "p__Bacteroidetes", "c__Flavobacteria", "o__Flavobacteriales", "f__Flavobacteriaceae", "g__Flavobacterium", "s__"]
["k__Bacteria", "p__Bacteroidetes", "c__Flavobacteria", "o__Flavobacteriales", "f__Flavobacteriaceae", "g__Capnocytophaga", "s__Capnocytophaga ochracea"]
["k__Bacteria", "p__Bacteroidetes", "c__Flavobacteria", "o__Flavobacteriales", "f__Flavobacteriaceae", "g__", "s__"]
["k__Bacteria", "p__Bacteroidetes", "c__Sphingobacteria", "o__Sphingobacteriales", "f__Sphingobacteriaceae", "g__Pedobacter", "s__"]
["k__Bacteria", "p__Bacteroidetes", "c__Sphingobacteria", "o__Sphingobacteriales", "f__", "g__", "s__"]
["k__Bacteria", "p__Bacteroidetes", "c__Sphingobacteria", "o__Sphingobacteriales", "f__Saprospiraceae", "g__", "s__"]
["k__Bacteria", "p__Bacteroidetes", "c__Sphingobacteria", "o__Sphingobacteriales", "f__", "g__", "s__"]
["k__Bacteria", "p__Bacteroidetes", "c__Sphingobacteria", "o__Sphingobacteriales", "f__Flammeovirgaceae", "g__Persicobacter", "s__Persicobacter diffluens"]
["k__Bacteria", "p__Bacteroidetes", "c__Sphingobacteria", "o__Sphingobacteriales", "f__Flexibacteraceae", "g__Hymenobacter", "s__"]
["k__Bacteria", "p__Bacteroidetes", "c__", "o__", "f__", "g__Candidatus Cardinium", "s__"]
["k__Bacteria", "p__Bacteroidetes", "c__Sphingobacteria", "o__Sphingobacteriales", "f__Flexibacteraceae", "g__Hymenobacter", "s__"]
["k__Bacteria", "p__Bacteroidetes", "c__Sphingobacteria", "o__Sphingobacteriales", "f__Flexibacteraceae", "g__Hymenobacter", "s__"]
["k__Bacteria", "p__Bacteroidetes", "c__Sphingobacteria", "o__Sphingobacteriales", "f__Flexibacteraceae", "g__Hymenobacter", "s__"]
["k__Bacteria", "p__Bacteroidetes", "c__Sphingobacteria", "o__Sphingobacteriales", "f__Flammeovirgaceae", "g__Thermonema", "s__Thermonema rossianum"]
["k__Bacteria", "p__Bacteroidetes", "c__Sphingobacteria", "o__Sphingobacteriales", "f__Flammeovirgaceae", "g__Thermonema", "s__"]
["k__Bacteria", "p__Planctomycetes", "c__Planctomycea", "o__Pirellulales", "f__", "g__Rhodopirellula", "s__"]
["k__Bacteria", "p__Planctomycetes", "c__Planctomycea", "o__Pirellulales", "f__", "g__Rhodopirellula", "s__"]
["k__Bacteria", "p__Planctomycetes", "c__agg27", "o__OM190", "f__", "g__", "s__"]
["k__Bacteria", "p__Planctomycetes", "c__Planctomycea", "o__Pirellulales", "f__", "g__", "s__"]
["k__Bacteria", "p__Planctomycetes", "c__Planctomycea", "o__Pirellulales", "f__Pirellulaceae", "g__", "s__"]
["k__Bacteria", "p__Planctomycetes", "c__Planctomycea", "o__Pirellulales", "f__Pirellulaceae", "g__Pirellula", "s__Pirellula staleyi"]
["k__Bacteria", "p__Planctomycetes", "c__Planctomycea", "o__Planctomycetales", "f__Planctomycetaceae", "g__Planctomyces", "s__"]
["k__Bacteria", "p__Planctomycetes", "c__Planctomycea", "o__Planctomycetales", "f__Planctomycetaceae", "g__Planctomyces", "s__"]
["k__Bacteria", "p__Planctomycetes", "c__Planctomycea", "o__Planctomycetales", "f__Planctomycetaceae", "g__Planctomyces", "s__"]
["k__Bacteria", "p__Planctomycetes", "c__Planctomycea", "o__Gemmatales", "f__Isosphaeraceae", "g__", "s__"]
["k__Bacteria", "p__Planctomycetes", "c__Planctomycea", "o__Gemmatales", "f__Isosphaeraceae", "g__", "s__"]
["k__Bacteria", "p__Chlamydiae", "c__Chlamydiae (class)", "o__Chlamydiales", "f__Parachlamydiaceae", "g__Parachlamydia", "s__Parachlamydia acanthamoebae"]
["k__Bacteria", "p__Verrucomicrobia", "c__Spartobacteria", "o__", "f__", "g__Chthoniobacter", "s__"]
["k__Bacteria", "p__Cyanobacteria", "c__", "o__", "f__", "g__", "s__"]
["k__Bacteria", "p__Cyanobacteria", "c__", "o__", "f__", "g__", "s__"]
["k__Bacteria", "p__Cyanobacteria", "c__", "o__", "f__", "g__", "s__"]
["k__Bacteria", "p__Cyanobacteria", "c__", "o__", "f__", "g__", "s__"]
["k__Bacteria", "p__Cyanobacteria", "c__", "o__", "f__", "g__", "s__"]
["k__Bacteria", "p__Acidobacteria", "c__Solibacteres", "o__Solibacterales", "f__Solibacteraceae", "g__Candidatus Solibacter", "s__"]
["k__Bacteria", "p__Acidobacteria", "c__Acidobacteria (class)", "o__Acidobacteriales", "f__Acidobacteriaceae", "g__", "s__"]
["k__Bacteria", "p__Spirochaetes", "c__Spirochaetes (class)", "o__Spirochaetales", "f__Spirochaetaceae", "g__Treponema", "s__"]
["k__Bacteria", "p__Spirochaetes", "c__Spirochaetes (class)", "o__Spirochaetales", "f__Spirochaetaceae", "g__Treponema", "s__Treponema socranskii"]
["k__Bacteria", "p__Spirochaetes", "c__Spirochaetes (class)", "o__Spirochaetales", "f__Spirochaetaceae", "g__Treponema", "s__"]
["k__Bacteria", "p__Spirochaetes", "c__Spirochaetes (class)", "o__Spirochaetales", "f__Spirochaetaceae", "g__Treponema", "s__"]
["k__Bacteria", "p__Spirochaetes", "c__Spirochaetes (class)", "o__Spirochaetales", "f__Spirochaetaceae", "g__Treponema", "s__"]
["k__Bacteria", "p__Spirochaetes", "c__Spirochaetes (class)", "o__Spirochaetales", "f__Spirochaetaceae", "g__Treponema", "s__"]
["k__Bacteria", "p__Spirochaetes", "c__Spirochaetes (class)", "o__Spirochaetales", "f__Spirochaetaceae", "g__Treponema", "s__"]
["k__Bacteria", "p__Proteobacteria", "c__Alphaproteobacteria", "o__Rhodospirillales", "f__Acetobacteraceae", "g__Roseomonas", "s__"]
["k__Bacteria", "p__Proteobacteria", "c__Alphaproteobacteria", "o__Rhodospirillales", "f__Acetobacteraceae", "g__Roseomonas", "s__"]
["k__Bacteria", "p__Proteobacteria", "c__Alphaproteobacteria", "o__Rhodospirillales", "f__Acetobacteraceae", "g__Tanticharoenia", "s__"]
["k__Bacteria", "p__Proteobacteria", "c__Alphaproteobacteria", "o__Rhodospirillales", "f__Acetobacteraceae", "g__Acidomonas", "s__Acidomonas methanolica"]
["k__Bacteria", "p__Proteobacteria", "c__Alphaproteobacteria", "o__Rhodospirillales", "f__Rhodospirillaceae", "g__Magnetospirillum", "s__Magnetospirillum sp."]
["k__Bacteria", "p__Proteobacteria", "c__Alphaproteobacteria", "o__Rhodospirillales", "f__Rhodospirillaceae", "g__Magnetospirillum", "s__Magnetospirillum sp."]
["k__Bacteria", "p__Proteobacteria", "c__Alphaproteobacteria", "o__Rhodospirillales", "f__Rhodospirillaceae", "g__Azospirillum", "s__"]
["k__Bacteria", "p__Proteobacteria", "c__Alphaproteobacteria", "o__Rhodospirillales", "f__Rhodospirillaceae", "g__", "s__"]
["k__Bacteria", "p__Proteobacteria", "c__Alphaproteobacteria", "o__Rhodospirillales", "f__Rhodospirillaceae", "g__Azospirillum", "s__Azospirillum brasilense"]
["k__Bacteria", "p__Proteobacteria", "c__Alphaproteobacteria", "o__Rhodospirillales", "f__Rhodospirillaceae", "g__Azospirillum", "s__"]
["k__Bacteria", "p__Proteobacteria", "c__Alphaproteobacteria", "o__Rhodospirillales", "f__Rhodospirillaceae", "g__Azospirillum", "s__"]
["k__Bacteria", "p__Proteobacteria", "c__Alphaproteobacteria", "o__Rhizobiales", "f__Hyphomicrobiaceae", "g__Pedomicrobium", "s__"]
["k__Bacteria", "p__Proteobacteria", "c__Alphaproteobacteria", "o__Rhizobiales", "f__Hyphomicrobiaceae", "g__Hyphomicrobium", "s__"]
["k__Bacteria", "p__Proteobacteria", "c__Alphaproteobacteria", "o__Rhizobiales", "f__Hyphomicrobiaceae", "g__", "s__"]
["k__Bacteria", "p__Proteobacteria", "c__Alphaproteobacteria", "o__Rhizobiales", "f__Hyphomicrobiaceae", "g__Hyphomicrobium", "s__"]
["k__Bacteria", "p__Proteobacteria", "c__Alphaproteobacteria", "o__Rhizobiales", "f__Hyphomicrobiaceae", "g__Hyphomicrobium", "s__Hyphomicrobium zavarzinii"]
["k__Bacteria", "p__Proteobacteria", "c__Alphaproteobacteria", "o__Rhizobiales", "f__Xanthobacteraceae", "g__", "s__"]
["k__Bacteria", "p__Proteobacteria", "c__Alphaproteobacteria", "o__Rhizobiales", "f__Xanthobacteraceae", "g__", "s__"]
